Site,Date,IndividualID,Size(mm),Parasitized,ParasiteType
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert1,70,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert2,66,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert3,51,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert4,65,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert5,60,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert6,54,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert7,69,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert8,57,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert9,64,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert10,68,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert11,59,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert12,59,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert13,46,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert14,54,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert15,54,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert16,71,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert17,51,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert18,57,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert19,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert20,60,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert21,43,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert22,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert23,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert24,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert25,49,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert26,54,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert27,55,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert28,45,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert29,46,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert30,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert31,41,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert32,47,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert33,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert34,42,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert35,32,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert36,37,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert37,38,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert38,47,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert39,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert40,41,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert41,45,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert42,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert43,43,N,None
,,,,,
