site,date,len.total,parasite.sex,location,site.type,method,len.cara,pf,pm,sex,workspace,parasite.category
Pruth Bay,2018-08-02,48,Both,Calvert Island,No aquaculture,excavation,14.399999999999999,1,1,NA,field,2
Pruth Bay,2018-08-02,43,None,Calvert Island,No aquaculture,excavation,12.9,0,0,NA,field,0
Pruth Bay,2018-08-02,40,None,Calvert Island,No aquaculture,excavation,12,0,0,NA,field,0
Pruth Bay,2018-08-02,39,None,Calvert Island,No aquaculture,excavation,11.7,0,0,NA,field,0
Pruth Bay,2018-08-02,33,None,Calvert Island,No aquaculture,excavation,9.9,0,0,NA,field,0
Pruth Bay,2018-08-02,32,None,Calvert Island,No aquaculture,excavation,9.6,0,0,NA,field,0
Pruth Bay,2018-08-02,30,None,Calvert Island,No aquaculture,excavation,9,0,0,NA,field,0
Pruth Bay,2018-08-02,32,None,Calvert Island,No aquaculture,excavation,9.6,0,0,NA,field,0
Pruth Bay,2018-08-02,34,None,Calvert Island,No aquaculture,excavation,10.2,0,0,NA,field,0
Pruth Bay,2018-08-02,55,None,Calvert Island,No aquaculture,excavation,16.5,0,0,NA,field,0
Pruth Bay,2018-08-02,44,None,Calvert Island,No aquaculture,excavation,13.2,0,0,NA,field,0
Pruth Bay,2018-08-02,28,None,Calvert Island,No aquaculture,excavation,8.4,0,0,NA,field,0
Pruth Bay,2018-08-02,40,None,Calvert Island,No aquaculture,excavation,12,0,0,NA,field,0
Pruth Bay,2018-08-02,39,None,Calvert Island,No aquaculture,excavation,11.7,0,0,NA,field,0
Pruth Bay,2018-08-02,34,None,Calvert Island,No aquaculture,excavation,10.2,0,0,NA,field,0
Pruth Bay,2018-07-29,56,Both,Calvert Island,No aquaculture,excavation,16.8,1,1,NA,field,2
Pruth Bay,2018-07-29,47,None,Calvert Island,No aquaculture,excavation,14.1,0,0,NA,field,0
Pruth Bay,2018-07-29,62,None,Calvert Island,No aquaculture,excavation,18.599999999999998,0,0,NA,field,0
Pruth Bay,2018-07-29,40,None,Calvert Island,No aquaculture,excavation,12,0,0,NA,field,0
Pruth Bay,2018-07-29,57,None,Calvert Island,No aquaculture,excavation,17.099999999999998,0,0,NA,field,0
Pruth Bay,2018-07-29,16,None,Calvert Island,No aquaculture,excavation,4.8,0,0,NA,field,0
Pruth Bay,2018-07-29,33,None,Calvert Island,No aquaculture,excavation,9.9,0,0,NA,field,0
Pruth Bay,2018-07-29,36,None,Calvert Island,No aquaculture,excavation,10.799999999999999,0,0,NA,field,0
Pruth Bay,2018-07-29,39,None,Calvert Island,No aquaculture,excavation,11.7,0,0,NA,field,0
Pruth Bay,2018-07-29,53,None,Calvert Island,No aquaculture,excavation,15.899999999999999,0,0,NA,field,0
Pruth Bay,2018-07-29,58,Female,Calvert Island,No aquaculture,excavation,17.4,1,0,NA,field,1
Pruth Bay,2018-07-29,65,Female,Calvert Island,No aquaculture,excavation,19.5,1,0,NA,field,1
Pruth Bay,2018-07-29,47,None,Calvert Island,No aquaculture,excavation,14.1,0,0,NA,field,0
Pruth Bay,2018-07-29,34,None,Calvert Island,No aquaculture,excavation,10.2,0,0,NA,field,0
Pruth Bay,2018-07-29,54,Female,Calvert Island,No aquaculture,excavation,16.2,1,0,NA,field,1
Pruth Bay,2018-07-29,45,Female,Calvert Island,No aquaculture,excavation,13.5,1,0,NA,field,1
Pruth Bay,2018-07-29,71,Both,Calvert Island,No aquaculture,excavation,21.3,1,1,NA,field,2
Pruth Bay,2018-07-29,65,None,Calvert Island,No aquaculture,excavation,19.5,0,0,NA,field,0
Pruth Bay,2018-07-29,52,None,Calvert Island,No aquaculture,excavation,15.6,0,0,NA,field,0
Pruth Bay,2018-07-29,41,Female,Calvert Island,No aquaculture,excavation,12.299999999999999,1,0,NA,field,1
Pruth Bay,2018-07-29,72,Both,Calvert Island,No aquaculture,excavation,21.599999999999998,1,1,NA,field,2
Pruth Bay,2018-07-29,38,Female,Calvert Island,No aquaculture,excavation,11.4,1,0,NA,field,1
Pruth Bay,2018-07-29,39,Both,Calvert Island,No aquaculture,excavation,11.7,1,1,NA,field,2
Pruth Bay,2018-07-29,53,Female,Calvert Island,No aquaculture,excavation,15.899999999999999,1,0,NA,field,1
Pruth Bay,2018-07-29,50,None,Calvert Island,No aquaculture,excavation,15,0,0,NA,field,0
Pruth Bay,2018-08-14,61,NA,Calvert Island,No aquaculture,slurp gun,20,0,0,female,lab,0
Pruth Bay,2018-08-14,66,NA,Calvert Island,No aquaculture,slurp gun,22,1,1,male,lab,2
Pruth Bay,2018-08-14,73,NA,Calvert Island,No aquaculture,slurp gun,23.5,0,0,female,lab,0
Pruth Bay,2018-08-14,50,NA,Calvert Island,No aquaculture,slurp gun,15,0,0,female,lab,0
Pruth Bay,2018-08-14,76,NA,Calvert Island,No aquaculture,slurp gun,25,1,0,male,lab,1
Pruth Bay,2018-08-14,41,NA,Calvert Island,No aquaculture,slurp gun,13,1,1,male,lab,2
Pruth Bay,2018-08-14,65,NA,Calvert Island,No aquaculture,slurp gun,20.5,0,0,male,lab,0
Pruth Bay,2018-08-14,53,NA,Calvert Island,No aquaculture,slurp gun,17,0,0,male,lab,0
Pruth Bay,2018-08-14,55,NA,Calvert Island,No aquaculture,slurp gun,17.5,0,0,female,lab,0
Pruth Bay,2018-08-14,53.5,NA,Calvert Island,No aquaculture,slurp gun,17.5,0,0,female,lab,0
Pruth Bay,2018-08-14,35,NA,Calvert Island,No aquaculture,slurp gun,12.5,0,0,male,lab,0
Pruth Bay,2018-08-14,38,NA,Calvert Island,No aquaculture,slurp gun,12.5,0,0,male,lab,0
Pruth Bay,2018-08-14,49,NA,Calvert Island,No aquaculture,slurp gun,15.5,0,0,female,lab,0
Pruth Bay,2018-08-14,70,NA,Calvert Island,No aquaculture,slurp gun,22.5,0,0,male,lab,0
Pruth Bay,2018-08-14,30,NA,Calvert Island,No aquaculture,slurp gun,9.5,0,0,male,lab,0
Pruth Bay,2018-08-14,82,NA,Calvert Island,No aquaculture,slurp gun,26,1,0,female,lab,1
Pruth Bay,2018-08-14,48.5,NA,Calvert Island,No aquaculture,slurp gun,15,0,0,female,lab,0
Pruth Bay,2018-08-14,44.5,NA,Calvert Island,No aquaculture,slurp gun,14.5,0,0,female,lab,0
Pruth Bay,2018-08-14,53,NA,Calvert Island,No aquaculture,slurp gun,16.5,0,0,female,lab,0
Pruth Bay,2018-08-14,34,NA,Calvert Island,No aquaculture,slurp gun,11.5,0,0,male,lab,0
Pruth Bay,2018-08-14,66,NA,Calvert Island,No aquaculture,slurp gun,19.5,0,0,female,lab,0
Pruth Bay,2018-08-14,22,NA,Calvert Island,No aquaculture,slurp gun,7.5,0,0,male,lab,0
Pruth Bay,2018-08-14,42,NA,Calvert Island,No aquaculture,excavation,14.5,0,0,male,lab,0
Pruth Bay,2018-08-14,55,NA,Calvert Island,No aquaculture,excavation,18,0,0,male,lab,0
Pruth Bay,2018-08-14,81,NA,Calvert Island,No aquaculture,excavation,26.5,1,1,female,lab,2
Pruth Bay,2018-08-14,74,NA,Calvert Island,No aquaculture,excavation,24.5,0,0,male,lab,0
Pruth Bay,2018-08-14,78,NA,Calvert Island,No aquaculture,excavation,25.5,1,1,female,lab,2
Pruth Bay,2018-08-14,77,NA,Calvert Island,No aquaculture,excavation,25.5,1,1,male,lab,2
Pruth Bay,2018-08-14,48,NA,Calvert Island,No aquaculture,excavation,15.5,0,0,male,lab,0
Pruth Bay,2018-08-14,60,NA,Calvert Island,No aquaculture,excavation,20.5,0,0,male,lab,0
Pruth Bay,2018-08-14,62,NA,Calvert Island,No aquaculture,excavation,22,1,1,female,lab,2
Pruth Bay,2018-08-14,60,NA,Calvert Island,No aquaculture,excavation,20.5,1,1,female,lab,2
Pruth Bay,2018-08-14,45,NA,Calvert Island,No aquaculture,excavation,15.5,0,0,female,lab,0
Pruth Bay,2018-08-14,43.5,NA,Calvert Island,No aquaculture,excavation,14.5,0,0,male,lab,0
Pruth Bay,2018-08-14,48,NA,Calvert Island,No aquaculture,excavation,16,0,0,female,lab,0
Pruth Bay,2018-08-14,47,NA,Calvert Island,No aquaculture,excavation,18,0,0,female,lab,0
Pruth Bay,2018-08-14,42,NA,Calvert Island,No aquaculture,excavation,13.5,0,0,male,lab,0
Pruth Bay,2018-08-14,43,NA,Calvert Island,No aquaculture,excavation,14,0,0,female,lab,0
Pruth Bay,2018-08-14,77,NA,Calvert Island,No aquaculture,excavation,25.5,0,0,female,lab,0
Pruth Bay,2018-08-14,49,NA,Calvert Island,No aquaculture,excavation,16,0,0,male,lab,0
Pruth Bay,2018-08-14,42,NA,Calvert Island,No aquaculture,excavation,13.5,0,0,male,lab,0
Pruth Bay,2018-08-14,43,NA,Calvert Island,No aquaculture,excavation,15.5,0,0,male,lab,0
Pruth Bay,2018-08-14,52,NA,Calvert Island,No aquaculture,excavation,17,1,1,male,lab,2
Pruth Bay,2018-08-14,51,NA,Calvert Island,No aquaculture,excavation,16.5,0,0,female,lab,0
Pruth Bay,2018-08-14,52,NA,Calvert Island,No aquaculture,excavation,17.5,0,0,male,lab,0
Pruth Bay,2018-08-14,37,NA,Calvert Island,No aquaculture,excavation,12,0,0,female,lab,0
Pruth Bay,2018-08-14,60,NA,Calvert Island,No aquaculture,excavation,20,0,0,male,lab,0
Pruth Bay,2019-01-19,35.7,NA,Calvert Island,No aquaculture,excavation,12.3,0,0,male,lab,0
Pruth Bay,2019-01-19,17.7,NA,Calvert Island,No aquaculture,excavation,5.4,0,0,male,lab,0
Pruth Bay,2019-01-19,32.5,NA,Calvert Island,No aquaculture,excavation,12.4,1,1,female,lab,2
Pruth Bay,2019-01-19,39,NA,Calvert Island,No aquaculture,excavation,12.7,0,0,male,lab,0
Pruth Bay,2019-01-19,45.1,NA,Calvert Island,No aquaculture,excavation,14.3,0,0,female,lab,0
Pruth Bay,2019-01-19,81.8,NA,Calvert Island,No aquaculture,excavation,21.8,1,0,female,lab,1
Pruth Bay,2019-01-19,70,NA,Calvert Island,No aquaculture,excavation,23.1,0,0,male,lab,0
Pruth Bay,2019-01-19,30.3,NA,Calvert Island,No aquaculture,excavation,10.6,1,0,male,lab,1
Pruth Bay,2019-01-19,47.7,NA,Calvert Island,No aquaculture,excavation,15.5,1,1,male,lab,2
Pruth Bay,2019-01-19,56.9,NA,Calvert Island,No aquaculture,excavation,18.7,0,0,male,lab,0
Pruth Bay,2019-01-19,42,NA,Calvert Island,No aquaculture,excavation,14.7,0,0,male,lab,0
Pruth Bay,2019-01-19,82.6,NA,Calvert Island,No aquaculture,excavation,26.4,0,0,male,lab,0
Pruth Bay,2019-01-19,46.1,NA,Calvert Island,No aquaculture,excavation,14.6,0,0,male,lab,0
Pruth Bay,2019-01-19,35.3,NA,Calvert Island,No aquaculture,excavation,11.2,0,0,female,lab,0
Pruth Bay,2019-01-19,42.8,NA,Calvert Island,No aquaculture,excavation,13.7,0,0,male,lab,0
Pruth Bay,2019-01-19,40.8,NA,Calvert Island,No aquaculture,excavation,13.5,0,0,male,lab,0
Pruth Bay,2019-01-19,19.2,NA,Calvert Island,No aquaculture,excavation,4.1,0,0,female,lab,0
Pruth Bay,2019-01-19,28.8,NA,Calvert Island,No aquaculture,excavation,9.2,0,0,male,lab,0
Pruth Bay,2019-01-19,29.8,NA,Calvert Island,No aquaculture,excavation,10.2,0,0,male,lab,0
Pruth Bay,2019-01-19,34.8,NA,Calvert Island,No aquaculture,excavation,11.2,0,0,male,lab,0
Pruth Bay,2019-01-19,NA,NA,Calvert Island,No aquaculture,excavation,16.2,0,0,male,lab,0
Pruth Bay,2019-01-19,48.6,NA,Calvert Island,No aquaculture,excavation,16.2,1,0,male,lab,1
Pruth Bay,2019-01-19,NA,NA,Calvert Island,No aquaculture,excavation,15.1,0,0,male,lab,0
Pruth Bay,2019-01-19,55.8,NA,Calvert Island,No aquaculture,excavation,23.4,0,0,male,lab,0
Pruth Bay,2019-01-19,43.7,NA,Calvert Island,No aquaculture,excavation,14.2,0,0,male,lab,0
Pruth Bay,2019-01-19,51,NA,Calvert Island,No aquaculture,excavation,16.7,0,0,female,lab,0
Pruth Bay,2019-01-19,29,NA,Calvert Island,No aquaculture,excavation,9.7,0,0,male,lab,0
Pruth Bay,2019-01-19,33.3,NA,Calvert Island,No aquaculture,excavation,10.7,0,0,male,lab,0
Pruth Bay,2019-01-19,34.6,NA,Calvert Island,No aquaculture,excavation,11.7,0,0,female,lab,0
Pruth Bay,2019-01-19,54.5,NA,Calvert Island,No aquaculture,excavation,17.8,0,0,male,lab,0
Pruth Bay,2019-01-19,63.4,NA,Calvert Island,No aquaculture,excavation,20.8,0,0,male,lab,0
Pruth Bay,2019-01-19,19.8,NA,Calvert Island,No aquaculture,excavation,6,0,0,male,lab,0
Pruth Bay,2019-01-19,NA,NA,Calvert Island,No aquaculture,excavation,11.2,0,0,male,lab,0
Pruth Bay,2019-01-19,39.8,NA,Calvert Island,No aquaculture,excavation,13.4,0,0,male,lab,0
Pruth Bay,2019-01-19,41.3,NA,Calvert Island,No aquaculture,excavation,14.3,0,0,male,lab,0
Pruth Bay,2019-01-19,66.7,NA,Calvert Island,No aquaculture,excavation,21.6,0,0,female,lab,0
Pruth Bay,2019-01-19,39,NA,Calvert Island,No aquaculture,excavation,12.7,0,0,male,lab,0
Pruth Bay,2019-01-19,69.1,NA,Calvert Island,No aquaculture,excavation,22.2,1,1,female,lab,2
Pruth Bay,2019-01-19,13.2,NA,Calvert Island,No aquaculture,excavation,4.7,0,0,male,lab,0
Pruth Bay,2019-01-19,21.1,NA,Calvert Island,No aquaculture,excavation,7.4,0,0,female,lab,0
Pruth Bay,2019-01-19,32.1,NA,Calvert Island,No aquaculture,excavation,10.3,0,0,female,lab,0
Pruth Bay,2019-01-19,46.1,NA,Calvert Island,No aquaculture,excavation,15,0,0,female,lab,0
Pruth Bay,2019-01-19,22.4,NA,Calvert Island,No aquaculture,excavation,7.2,0,0,male,lab,0
Pruth Bay,2019-01-19,71.4,NA,Calvert Island,No aquaculture,excavation,22.4,0,0,female,lab,0
Pruth Bay,2019-01-19,78.4,NA,Calvert Island,No aquaculture,excavation,25.6,0,0,male,lab,0
Pruth Bay,2019-01-19,45.2,NA,Calvert Island,No aquaculture,excavation,15.1,0,0,female,lab,0
Pruth Bay,2019-01-19,35.5,NA,Calvert Island,No aquaculture,excavation,12,0,0,male,lab,0
Pruth Bay,2019-01-19,54,NA,Calvert Island,No aquaculture,excavation,17.6,0,0,female,lab,0
Pruth Bay,2019-01-19,22.8,NA,Calvert Island,No aquaculture,excavation,7.4,0,0,male,lab,0
Pruth Bay,2019-01-19,41,NA,Calvert Island,No aquaculture,excavation,13.8,0,0,female,lab,0
Pruth Bay,2019-01-19,49.5,NA,Calvert Island,No aquaculture,excavation,15.2,0,0,female,lab,0
Pruth Bay,2019-01-19,47.7,NA,Calvert Island,No aquaculture,excavation,16.1,0,0,male,lab,0
Pruth Bay,2019-01-19,61,NA,Calvert Island,No aquaculture,excavation,20.2,1,0,female,lab,1
Pruth Bay,2019-01-19,NA,NA,Calvert Island,No aquaculture,excavation,22.9,0,0,female,lab,0
Pruth Bay,2019-01-19,19.9,NA,Calvert Island,No aquaculture,excavation,6.8,0,0,male,lab,0
Pruth Bay,2019-01-19,64,NA,Calvert Island,No aquaculture,excavation,18.7,0,0,female,lab,0
Pruth Bay,2019-01-19,64.9,NA,Calvert Island,No aquaculture,excavation,24,0,0,male,lab,0
Pruth Bay,2019-01-19,25,NA,Calvert Island,No aquaculture,excavation,8.1,0,0,female,lab,0
Pruth Bay,2019-01-19,46.5,NA,Calvert Island,No aquaculture,excavation,15,0,0,female,lab,0
Pruth Bay,2019-01-19,19.9,NA,Calvert Island,No aquaculture,excavation,6.8,0,0,female,lab,0
Pruth Bay,2019-01-19,22.5,NA,Calvert Island,No aquaculture,excavation,8.1,0,0,male,lab,0
Pruth Bay,2019-01-19,41.1,NA,Calvert Island,No aquaculture,excavation,14.8,0,0,female,lab,0
Pruth Bay,2019-01-19,62.5,NA,Calvert Island,No aquaculture,excavation,22.8,1,1,female,lab,2
Deep Bay Reference,2016-07-21,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,35,,Baynes Sound,No aquaculture,NA,10.5,0,0,NA,field,0
NOT,2016-07-22,15,,Baynes Sound,No aquaculture,NA,4.5,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,40,,Baynes Sound,No aquaculture,NA,12,0,0,NA,field,0
NOT,2016-07-22,45,,Baynes Sound,No aquaculture,NA,13.5,0,0,NA,field,0
NOT,2016-07-22,25,,Baynes Sound,No aquaculture,NA,7.5,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,28,,Baynes Sound,No aquaculture,NA,8.4,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,15,,Baynes Sound,No aquaculture,NA,4.5,0,0,NA,field,0
NOT,2016-07-22,35,,Baynes Sound,No aquaculture,NA,10.5,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,25,,Baynes Sound,No aquaculture,NA,7.5,0,0,NA,field,0
NOT,2016-07-22,25,,Baynes Sound,No aquaculture,NA,7.5,0,0,NA,field,0
NOT,2016-07-22,51,,Baynes Sound,No aquaculture,NA,15.299999999999999,0,0,NA,field,0
NOT,2016-07-22,45,,Baynes Sound,No aquaculture,NA,13.5,0,0,NA,field,0
NOT,2016-07-22,25,,Baynes Sound,No aquaculture,NA,7.5,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,30,,Baynes Sound,No aquaculture,NA,9,0,0,NA,field,0
NOT,2016-07-22,38,,Baynes Sound,No aquaculture,NA,11.4,0,0,NA,field,0
NOT,2016-07-22,52,,Baynes Sound,No aquaculture,NA,15.6,0,0,NA,field,0
NOT,2016-07-22,15,,Baynes Sound,No aquaculture,NA,4.5,0,0,NA,field,0
NOT,2016-07-22,30,Female,Baynes Sound,No aquaculture,NA,9,1,0,NA,field,1
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,22,,Baynes Sound,No aquaculture,NA,6.6,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,40,,Baynes Sound,No aquaculture,NA,12,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,15,,Baynes Sound,No aquaculture,NA,4.5,0,0,NA,field,0
NOT,2016-07-22,50,,Baynes Sound,No aquaculture,NA,15,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,50,,Baynes Sound,No aquaculture,NA,15,0,0,NA,field,0
NOT,2016-07-22,40,,Baynes Sound,No aquaculture,NA,12,0,0,NA,field,0
